Q#,Question,3935,3937,3938,3940,3941,3943,3944,3945,3946,3947,3948,3949,3951,3953,3954,3955,3956,3957,3958,3959,3960,3962
Q1,What bus route did you receive this survey? (Route #),,,,,,,,,,,,,,,,,,,,,,
Q2,What time did you board this bus? (time + AM/PM),,,,,,,,,,,,,,,,,,,,,,
Q3,Where did you come from today?,Other (please specify),School,Home,Home,,Work,Home,Other (please specify),,Work,Work,,,,,School,Work,Other (please specify),,,,
Q4,What is the address of the place you came from? (Street / City / State / Zip),,,,,,,,,,,,,,,,,,,,,,
Q5,How did you get to this bus? (choose primary method),Walked Only,NJ Transit Train,Bike,Walked Only,,Walked Only,Walked Only,,,,Walked Only,Another Bus,,,,Walked Only,Walked Only,,Walked Only,Walked Only,,Another Bus
Q6,Where did you get ON this bus? (terminal/bus stop),,,,,,,,,,,,,,,,,,,,,,
Q7,Where will you get OFF this bus? (terminal/bus stop),,,,,,,,,,,,,,,,,,,,,,
Q8,"After this bus, how will you get to your final destination?",Walked Only,Walked Only,Walked Only,Walked Only,,Walked Only,Walked Only,Drive,,Carpooled/Dropped Off,Walked Only,,Walked Only,Another Bus,,Another Bus,Walked Only,Drive,Drive,,Walked Only,Riverline
Q9,What is the address of your final destination?,,,,,,,,,,,,,,,,,,,,,,
Q10,Where are you going today?,Home,Other (please specify),,Work,,Work,Home,Home,Other (please specify),Home,Home,,,Work,Work,Home,,Home,,,Other (please specify),Home
Q11,How often do you use this bus route?,1-2 days per week,1-5 times a year,6-7 days a week,5 days a week,,5 days a week,4 days a week,less than once year,,5 days a week,5 days a week,,1-3 days a month,5 days a week,6-7 days a week,less than once year,5 days a week,6-7 days a week,,6-7 days a week,1-2 days per week,6-7 days a week
Q12,What type of ticket are you using for this trip?,Reduced Fares for Senior Citizens & Customers with Disabilities,,Bus Monthly Pass,,,,,,,,Reduced Fares for Senior Citizens & Customers with Disabilities,Bus Monthly Pass,,One-way/Cash Fare/Transfer,,One-way/Cash Fare/Transfer,Bus Monthly Pass,Bus Monthly Pass,,,One-way/Cash Fare/Transfer,
Q13,Do you typically pay for your pass using?,Cash,Cash,Cash,,,Cash,Credit Card,Cash,Other (please specify),Apple Pay,Credit Card,Credit Card,Cash,Apple Pay,Apple Pay,,Debit Card,Cash,Cash,Cash,Cash,Cash
Q14,Where do you usually buy your ticket or pass?,Other (please specify),NJ TRANSIT Ticket agent,On-board,,,NJ Transit Mobile App,On-board,NJ Transit Mobile App,,On-board,NJ Transit Mobile App,"Independent ticket agent (e.g., newsstand, convenience store)",Ticket Vending Machine,,NJ Transit Mobile App,Other (please specify),NJ TRANSIT Ticket agent,Other (please specify),,,,
Q15,"For the other half of your trip (return trip), how will/did you travel?",,I will not make this trip in the opposite direction,,,,Same Bus Route 6am to 8:59am,Same Bus Route 6am to 8:59am,I will not make this trip in the opposite direction,Other (please specify),Same Bus Route 6am to 8:59am,Same Bus Route 6am to 8:59am,Same Bus Route 4pm to 6:59pm,I will not make this trip in the opposite direction,,,Same Bus Route 9am to 3:59pm,Same Bus Route 6am to 8:59am,I will not make this trip in the opposite direction,I will not make this trip in the opposite direction,Same Bus Route 6am to 8:59am,,Same Bus Route 4pm to 6:59pm
Q16,What is the purpose of your trip?,Medical,Personal Business,Shopping,Work,,Work,Work,Personal Business,,Work,Work,Work,,,,School,Work,Personal Business,,Personal Business,,Social/ visiting family and friends
Q17,"If this bus service was not available, how would you make the trip?",Other (please specify),I would not make this trip,Bike,Uber/Lyft/Other rideshare,,Walk,Other (please specify),I would not make this trip,,Carpooled/Dropped Off,I would not make this trip,,Carpooled/Dropped Off,,Uber/Lyft/Other rideshare,Drive,Walk,Drive,,Walk,Walk,
Q18,How do you identify?,Female/Woman,,Male/Man,Male/Man,,Male/Man,Male/Man,Male/Man,,Male/Man,Female/Woman,,Male/Man,,Male/Man,Female/Woman,Female/Woman,Male/Man,,Female/Woman,Male/Man,Prefer not to answer
Q19,What is your age?,,,,,,,,,,,,,,,,,,,,,,
Q20,Are you traveling with a child(ren) under 12 years of age?,No,No,No,,,No,,No,,No,No,,No,,,No,,No,Yes,,,No
Q21,How well do you speak English?,Very well,,Very well,Very well,,Very well,,Very well,,Very well,Very well,,Very well,,,Very well,,Well,,,,Very well
Q22,Do you speak a language other than English?,No,Yes (please specify),No,No,,No,,No,,,No,,No,,,No,Yes (please specify),,,,,Yes (please specify)
Q23,Are you of Spanish/Hispanic/Latino origin?,,Yes (please specify),No,No,,No,No,No,,No,No,,,,,No,Yes (please specify),Yes (please specify),,,Yes (please specify),Yes (please specify)
Q24,What is your race?,Black or African American,Mixed Race,White/Caucasian,Black or African American,,Mixed Race,Black or African American,White/Caucasian,,Black or African American,White/Caucasian,,Black or African American,Mixed Race,,White/Caucasian,,American Indian/Alaskan Native,White/Caucasian,Prefer not to answer,,Prefer not to answer
Q25,"How many people are living in your household, including yourself?",,,,,,,,,,,,,,,,,,,,,,
Q26,How many vehicles are currently available in your household?,,,,,,,,,,,,,,,,,,,,,,
Q27,Do you have a physical disability or other condition that makes it difficult to use this bus?,No,No,,,,No,"Yes, a disability affecting my mobility",No,,No,"Yes, a disability affecting my mobility",,No,,,No,No,No,,"Yes, a disability affecting my vision",No,"Yes, a disability affecting my vision"
Q28,What is your annual household income?,"$15,000-$24,999","Under $15,000","Under $15,000","Under $15,000",,"$35,000-$49,999","$15,000-$24,999",,,"$75,000-$99,999","$15,000-$24,999",,"$35,000-$49,999",,,"$15,000-$24,999","$75,000-$99,999","$100,000-$149,999",,"Under $15,000","$15,000-$24,999","Under $15,000"
Q29,What is the most important bus improvement that can be made to meet your travel needs?,,,,,,,,,,,,,,,,,,,,,,
